,name,circuit.1,child,girls,sons,woman,yearb,race,religion,republican,progressive.vote
80,"Garth, Leonard I.",3,1,1,0,0,1921,1,5,1,0.5
81,"Garwood, William L.",5,2,1,1,0,1931,1,2,1,0.166666667
82,"Garza, Emilio M.",5,0,0,0,0,1947,3,4,1,0.375
83,"Garza, Reynaldo",5,4,2,2,0,1915,3,4,0,0.666666667
84,"Gibbons, Julia",6,2,1,1,1,1950,1,99,1,0
86,"Gibson, John R.",8,4,3,1,0,1925,1,7,1,0.5625
87,"Gilman, Ronald",6,2,2,0,0,1942,1,5,0,0.368421053
88,"Ginsburg, Douglas, H.",12,3,3,0,0,1946,1,5,1,0.666666667
89,"Godbold, John",5,4,3,1,0,1920,1,2,0,0.333333333
90,"Goodwin, Alfred T.",9,5,2,3,0,1923,1,7,1,0.714285714
91,"Gould, Ronald",9,2,1,1,0,1946,1,5,0,0.8
92,"Graber, Susan",9,1,1,0,1,1949,1,5,0,0.428571429
93,"Greenberg, Morton I.",3,3,2,1,0,1933,1,5,1,0.384615385
94,"Gregory, Roger",4,3,3,0,0,1953,2,99,0,0.333333333
96,"Hall, Cynthia H.",9,0,0,0,1,1929,1,2,1,0.555555556
97,"Hamilton, Clyde H.",4,2,0,2,0,1934,1,10,1,0.555555556
99,"Hartz, Harris",10,2,0,2,0,1947,1,99,1,0
100,"Hatchett, Joseph W.",5,2,2,0,0,1932,2,3,0,0.5
101,"Hawkins, Michael Daly",9,2,0,2,0,1945,1,24,0,0.4
102,"Heaney, Gerald",8,2,1,1,0,1918,1,4,0,0.36
103,"Henderson, Albert J.",5,2,1,1,0,1920,1,3,0,1
104,"Henderson, Karen LeCraft",12,0,0,0,1,1944,1,4,1,0.4
105,"Henley, Jesse Smith",8,3,3,0,0,1917,1,7,1,0.25
106,"Henry, Robert Harlan",10,1,0,1,0,1953,1,4,0,0.263157895
107,"Higginbotham, Patrick E.",5,2,2,0,0,1938,1,10,1,0.272727273
108,"Hill, James C.",11,2,0,2,0,1924,1,3,1,0.5
109,"Holloway, William",10,2,1,1,0,1923,1,10,0,0.230769231
110,"Howard, Jeffrey",1,2,0,2,0,1955,1,99,1,0
111,"Hug, Procter R.",9,3,2,1,0,1931,1,4,0,0.428571429
112,"Hull,  Frank",11,2,1,1,0,1948,1,2,0,1
113,"Jacobs, Dennis G.",2,0,0,0,0,1944,1,5,1,0.5625
115,"Jones, Edith H.",5,3,0,3,1,1949,1,7,1,0.222222222
116,"Jones, Nathaniel R.",6,5,2,3,0,1926,2,3,0,0.545454545
117,"Kanne, Michael S.",7,2,2,0,0,1938,1,4,1,0.3125
118,"Katzmann, Robert",2,0,0,0,0,1953,1,5,0,0.166666667
119,"Kearse, Amalya Lyle",2,0,0,0,1,1937,2,99,0,0.666666667
120,"Keith, Damon J.",6,3,3,0,0,1922,2,3,0,0.5
121,"Kelly, Paul J., Jr.",10,5,3,2,0,1940,1,4,1,0.125
122,"Kennedy, Cornelia Groefsema",6,1,0,1,1,1923,1,4,0,0.210526316
123,"King, Carolyn Dineen",5,3,0,3,1,1938,1,4,0,0.285714286
125,"Kleinfeld, Andrew J.",9,3,1,2,0,1945,1,5,1,0
126,"Kozinski, Alex",9,3,0,3,0,1950,1,5,1,0.166666667
127,"Kravitch, Phyllis A.",5,0,0,0,1,1920,1,5,0,0.571428571
129,"Lay, Donald",8,5,5,0,0,1926,1,8,0,0.625
130,"Leavy, Edward",9,4,1,3,0,1929,1,4,1,0.333333333
131,"Leval, Pierre Nelson",2,1,1,0,0,1936,1,4,0,0.583333333
132,"Lewis, Timothy K.",3,2,1,1,0,1954,2,1,1,1
133,"Lipez, Kermit",1,2,2,0,0,1941,1,5,0,0.5
134,"Loken, James B.",8,2,2,0,0,1940,1,8,1,0.282608696
135,"Lucero, Carlos",10,1,1,0,0,1940,3,4,0,0.352941176
136,"Luttig, J. Michael",4,2,1,1,0,1954,1,99,1,0.307692308
137,"Lynch, Sandra",1,1,0,1,1,1946,1,4,0,0.411764706
138,"Magill, Frank J.",8,1,0,1,0,1927,1,4,1,0.208333333
139,"Mahoney, J. Daniel",2,6,3,3,0,1931,1,4,1,1
140,"Manion, Daniel A.",7,0,0,0,0,1942,1,4,1,0.195121951
141,"Mansmann, Carol Los",3,4,1,3,1,1942,1,4,1,0.333333333
142,"Marcus, Stanley",11,2,1,1,0,1946,1,5,1,0.625
143,"Martin, Boyce F., Jr.",6,4,2,2,0,1935,1,2,0,0.5
144,"McKay, Monroe G.",10,9,5,4,0,1928,1,17,0,0.5
145,"McKee, Theodore Alexander",3,2,2,0,0,1947,2,99,0,0.571428571
146,"McKeown, M. Margaret",9,0,0,0,1,1951,1,99,0,0
147,"McLaughlin, Joseph W.",2,4,1,3,0,1933,1,4,1,0.333333333
148,"McMillian, Theodore",8,2,2,0,0,1919,2,4,0,0.435897436
149,"McWilliams, Robert H.",10,1,0,1,0,1916,1,2,1,0.384615385
150,"Melloy, Michael",8,3,3,0,0,1948,1,99,1,0.5
151,"Merritt, Gilbert S.",6,3,1,2,0,1936,1,2,0,0.588235294
152,"Meskill, Thomas J.",2,4,2,2,0,1928,1,4,1,0.142857143
153,"Michael, M. Blane",4,1,1,0,0,1943,1,8,0,0.615384615
154,"Miner, Roger J.",2,4,0,4,0,1934,1,5,1,0.571428571
155,"Moore, Karen",6,3,1,2,1,1948,1,1,0,0.5
156,"Motz, Diana Gribbon",4,2,1,1,1,1943,1,4,0,0.5
157,"Murnaghan, Francis D.",4,3,2,1,0,1920,1,4,0,0.714285714
158,"Murphy, Diana E.",8,2,0,2,1,1934,1,4,0,0.586206897
159,"Murphy, Michael",10,2,1,1,0,1947,1,4,0,0.541666667
160,"Nelson, David A.",6,3,1,2,0,1932,1,9,1,0.25
161,"Nelson, Dorothy Wright",9,2,1,1,1,1928,1,16,0,0.666666667
163,"Newman, Jon O.",2,3,1,2,0,1932,1,5,0,0.333333333
164,"Niemeyer, Paul V.",4,3,0,3,0,1941,1,2,1,0.133333333
165,"Noonan, John T.",9,3,2,1,0,1926,1,4,1,0.285714286
166,"Norris, Alan E.",6,2,1,1,0,1935,1,10,1,0.181818182
167,"Norris, William Albert",9,5,3,2,0,1927,1,99,0,1
168,"Nygaard, Richard L.",3,0,0,0,0,1940,1,7,1,1
169,"O'Scannlain, Diaruid F.",9,8,4,4,0,1937,1,4,1,0.166666667
170,"Oakes, James L.",2,3,2,1,0,1924,1,1,1,0.6
171,"Paez, Richard",9,2,1,1,0,1947,3,17,0,0.666666667
172,"Parker, Fred Irving",2,2,0,2,0,1938,1,10,0,0.461538462
173,"Parker, Robert Manley",5,2,2,0,0,1937,1,8,0,0.384615385
174,"Phillips, James D.",4,4,3,1,0,1922,1,7,0,0
176,"Pooler, Rosemary",2,2,1,1,1,1938,1,5,0,0.6
177,"Porfilio, John",10,3,1,2,0,1934,1,99,1,0.210526316
178,"Posner, Richard A.",7,2,0,2,0,1939,1,5,1,0.068965517
179,"Pregerson, Harry",9,2,1,1,0,1923,1,5,0,1
180,"Randolph, A. Raymond",12,2,1,1,0,1943,1,4,1,0.4
181,"Reavley, Thomas M.",5,4,2,2,0,1921,1,10,0,0.6
182,"Reinhardt, Stephen R.",9,3,1,2,0,1931,1,5,0,0.923076923
183,"Rendell, Marjorie",3,1,0,1,1,1947,1,4,0,0.142857143
184,"Riley, William",8,3,1,2,0,1947,1,99,1,0.666666667
185,"Ripple, Kenneth F.",7,3,3,0,0,1943,1,4,1,0.303030303
186,"Rogers, Judith Ann Wilson",12,3,2,1,1,1939,2,2,0,0.428571429
187,"Roney, Paul H.",5,3,1,2,0,1921,1,7,1,0.125
188,"Rosenn, Max",3,2,0,2,0,1910,1,5,1,0.333333333
189,"Ross, Donald Roe",8,5,4,1,0,1922,1,7,1,0
190,"Roth, Jane R.",3,2,1,1,1,1935,1,2,1,0.4
191,"Rovner, Ilana",7,1,0,1,1,1938,1,5,1,0.344827586
192,"Ryan, James L.",6,4,2,2,0,1932,1,4,1,0.153846154
193,"Rymer, Pamela A.",9,0,0,0,1,1941,1,7,1,0.5
194,"Sack, Robert",2,0,0,0,0,1939,1,5,0,0.25
195,"Schroeder, Mary Murphy",9,2,2,0,1,1940,1,99,0,0.666666667
196,"Scirica, Anthony J.",3,0,0,0,0,1940,1,4,1,0.25
197,"Seitz, Collins J.",3,4,1,3,0,1914,1,4,0,0
198,"Selya, Bruce M.",1,2,2,0,0,1934,1,5,1,0.583333333
199,"Sentelle, David B.",12,3,2,1,0,1943,1,3,1,0.692307692
200,"Seymour, Stephanie Kulp",10,4,3,1,1,1940,1,1,0,0.454545455
201,"Silberman, Laurence H.",12,3,2,1,0,1935,1,5,1,1
202,"Siler, Eugene E., Jr.",6,2,0,2,0,1936,1,3,1,0.133333333
203,"Silverman, Barry",9,1,1,0,0,1951,1,5,0,0.25
204,"Skopil, Otto R.",9,4,2,2,0,1919,1,8,1,1
205,"Sloviter, Dolores K.",3,1,1,0,1,1932,1,5,0,1
206,"Smith, Jerry",5,2,1,1,0,1946,1,10,1,0.538461538
207,"Sotomayor, Sonia",2,0,0,0,1,1954,3,4,0,0.727272727
209,"Stapleton, Walter K.",3,3,1,2,0,1934,1,3,1,0.25
211,"Straub,  Chester",2,4,0,4,0,1937,1,4,0,0.857142857
213,"Tacha, Deanell R.",10,4,2,2,0,1946,1,10,1,0.260869565
214,"Tallman, Richard",9,0,0,0,0,1953,1,2,0,0.333333333
215,"Tashima, Atsushi",9,3,1,2,0,1934,4,7,0,0.555555556
216,"Tatel, David Stephen",12,4,3,1,0,1942,1,5,0,0.444444444
217,"Thomas, Sidney",9,2,0,2,0,1953,1,99,0,0.8
219,"Tjoflat, Gerald B.",5,2,1,1,0,1929,1,2,1,0.5
221,"Traxler, William",4,2,0,2,0,1948,1,2,0,0.454545455
222,"Trott, Stephen S.",9,2,2,0,0,1939,1,8,1,0.333333333
223,"Van Graafeiland, Ellsworth A.",2,5,3,2,0,1915,1,8,1,0.857142857
224,"Wald, Patricia M.",12,5,3,2,1,1928,1,99,0,0.666666667
225,"Walker, John M., Jr.",2,1,1,0,0,1940,1,2,1,0.307692308
227,"Wardlaw, Kim",9,0,0,0,1,1954,3,99,0,0.571428571
228,"Weis, Joseph F.",3,3,2,1,0,1923,1,4,1,0.666666667
229,"Wellford, Harry W.",6,5,2,3,0,1924,1,7,1,0.333333333
230,"Widener, Hiram Emory, Jr.",4,2,1,1,0,1923,1,7,1,0.428571429
231,"Wiener, Jacques L., Jr.",5,4,2,2,0,1934,1,5,1,0.25
232,"Wiggins, Charles E.",9,2,0,2,0,1927,1,8,1,0.75
233,"Wilkins, William W.",4,3,2,1,0,1942,1,3,1,0.363636364
234,"Wilkinson, J. Harvie, III",4,2,1,1,0,1944,1,2,1,0.357142857
235,"Williams, Ann",7,2,1,1,1,1949,2,98,0,0.307692308
236,"Williams, Karen J.",4,4,2,2,1,1951,1,3,1,0.333333333
237,"Williams, Stephen F.",12,5,2,3,0,1936,1,99,1,0.3
238,"Wilson, Charles",11,2,2,0,0,1954,2,4,0,0.333333333
240,"Wisdom, John",5,3,2,1,0,1905,1,2,1,0
241,"Wollman, Roger L.",8,3,0,3,0,1934,1,21,1,0.344827586
242,"Wood, Diane",7,3,2,1,1,1950,1,99,0,0.333333333
243,"Wood, Harlington, Jr.",7,1,1,0,0,1920,1,8,1,0.4
244,"Wright, Eugene A.",9,2,1,1,0,1913,1,2,1,1
