"year","age","male","educ","log_nrooms","log_landval","n_business","prop_hhmig","prop_cmig","log_npop","prop_self","prop_agri","prop_lessminwage"
1973,20,0,6,1.94591,0,0,0,0.038569,10.20359,0.2831,0.34075,15.62987
1975,58,1,4,1.94591,0,0,0.25,0.0458357,10.20359,0.2831,0.34075,14.75543
1977,19,0,6,1.94591,0,0,0.5,0.0553382,10.20359,0.2831,0.34075,14.94673
1987,39,1,6,1.94591,0,0,0.75,0.1274455,10.62133,0.2796,0.24365,13.67292
1983,31,1,4,1.609438,0,0,0,0.1006149,10.62133,0.2796,0.24365,13.93506
1975,18,1,6,2.197225,0,0,0,0.0458357,10.20359,0.2831,0.34075,14.75543
1978,33,1,6,2.197225,0,0,0.3333333,0.059251,10.20359,0.2831,0.34075,14.94865
1979,32,1,3,2.197225,0,0,0.6666667,0.0659586,10.20359,0.2831,0.34075,14.56347
1981,35,1,4,1.791759,0,0,1,0.0894354,10.62133,0.2796,0.24365,13.62066
1981,31,1,4,1.791759,0,0,0.25,0.0894354,10.62133,0.2796,0.24365,13.62066
1981,26,1,4,1.791759,0,0,1,0.0894354,10.62133,0.2796,0.24365,13.62066
1983,32,1,13,1.791759,0,0,0,0.1006149,10.62133,0.2796,0.24365,13.93506
1987,21,1,8,0,0,0,0.5,0.1274455,10.62133,0.2796,0.24365,13.67292
1987,19,1,6,1.386294,0,0,0,0.1274455,10.62133,0.2796,0.24365,13.67292
1978,22,1,6,0,0,0,1,0.059251,10.20359,0.2831,0.34075,14.94865
1978,20,1,6,1.94591,0,1,0.3333333,0.059251,10.20359,0.2831,0.34075,14.94865
1980,17,0,6,1.609438,0,1,0.75,0.0771381,10.62133,0.2796,0.24365,13.73002
1980,15,1,6,1.609438,0,1,0,0.0771381,10.62133,0.2796,0.24365,13.73002
1980,19,0,6,1.609438,0,1,0.75,0.0771381,10.62133,0.2796,0.24365,13.73002
1984,25,1,6,1.609438,0,1,0.75,0.1073225,10.62133,0.2796,0.24365,13.8887
1979,22,0,12,1.609438,0,0,0.2,0.0659586,10.20359,0.2831,0.34075,14.56347
1980,19,1,3,1.609438,13.27597,1,0.4,0.0771381,10.62133,0.2796,0.24365,13.73002
1986,21,0,6,1.609438,13.27597,1,0.6,0.1196199,10.62133,0.2796,0.24365,13.90484
1987,20,0,9,1.609438,13.27597,2,0.8,0.1274455,10.62133,0.2796,0.24365,13.67292
1970,24,1,6,1.609438,0,0,0.5,0.0307434,10.20359,0.2831,0.34075,14.69026
1985,16,1,6,0.6931472,0,0,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1978,17,1,3,0,0,0,0,0.059251,10.20359,0.2831,0.34075,14.94865
1980,29,1,2,1.386294,0,0,0,0.0771381,10.62133,0.2796,0.24365,13.73002
1980,27,0,1,0,0,0,0,0.0771381,10.62133,0.2796,0.24365,13.73002
1982,19,1,9,1.791759,0,0,0,0.0950252,10.62133,0.2796,0.24365,13.776
1983,18,1,8,1.791759,0,0,0.3333333,0.1006149,10.62133,0.2796,0.24365,13.93506
1986,18,1,9,1.791759,0,0,0.6666667,0.1196199,10.62133,0.2796,0.24365,13.90484
1968,25,1,2,1.94591,0,0,0,0.0262717,9.952278,0.3014,0.5274,14.54793
1966,20,1,6,0,0,0,0,0.0245947,9.952278,0.3014,0.5274,14.2437
1980,16,1,6,0,0,0,0.3333333,0.0771381,10.62133,0.2796,0.24365,13.73002
1985,15,0,6,0,0,0,0.6666667,0.1106764,10.62133,0.2796,0.24365,13.7792
1975,25,1,6,1.609438,0,0,0.25,0.0458357,10.20359,0.2831,0.34075,14.75543
1980,21,0,3,1.609438,0,0,0.5,0.0771381,10.62133,0.2796,0.24365,13.73002
1982,21,0,3,1.609438,0,0,0.75,0.0950252,10.62133,0.2796,0.24365,13.776
1973,18,1,6,1.098612,0,0,0.25,0.038569,10.20359,0.2831,0.34075,15.62987
1975,18,1,6,1.098612,0,0,0.5,0.0458357,10.20359,0.2831,0.34075,14.75543
1979,15,1,6,1.098612,0,0,0.75,0.0659586,10.20359,0.2831,0.34075,14.56347
1972,18,1,0,1.94591,0,0,0.3333333,0.0346562,10.20359,0.2831,0.34075,15.65455
1974,21,1,0,1.94591,14.43174,1,0.8333333,0.0408049,10.20359,0.2831,0.34075,14.87976
1974,18,1,6,1.94591,14.43174,1,0.5,0.0408049,10.20359,0.2831,0.34075,14.87976
1978,20,0,4,1.94591,14.43174,1,0.8333333,0.059251,10.20359,0.2831,0.34075,14.94865
1979,24,1,2,1.791759,0,0,0.6666667,0.0659586,10.20359,0.2831,0.34075,14.56347
1979,21,1,2,1.791759,0,0,0,0.0659586,10.20359,0.2831,0.34075,14.56347
1979,15,1,1,1.791759,0,0,0.6666667,0.0659586,10.20359,0.2831,0.34075,14.56347
1979,19,0,2,1.791759,0,0,0.6666667,0.0659586,10.20359,0.2831,0.34075,14.56347
1980,28,0,4,1.791759,0,0,0.6666667,0.0771381,10.62133,0.2796,0.24365,13.73002
1982,46,0,0,1.791759,0,0,0.8333333,0.0950252,10.62133,0.2796,0.24365,13.776
1972,28,1,3,1.098612,0,0,0,0.0346562,10.20359,0.2831,0.34075,15.65455
1973,19,1,4,1.609438,0,0,0,0.038569,10.20359,0.2831,0.34075,15.62987
1974,19,0,5,0,0,0,0,0.0408049,10.20359,0.2831,0.34075,14.87976
1974,22,1,6,0,0,0,1,0.0408049,10.20359,0.2831,0.34075,14.87976
1987,19,1,6,0,0,0,0.5,0.1274455,10.62133,0.2796,0.24365,13.67292
1980,28,1,6,1.098612,0,0,0,0.0771381,10.62133,0.2796,0.24365,13.73002
1987,21,1,6,1.609438,0,0,0,0.1274455,10.62133,0.2796,0.24365,13.67292
1984,20,1,6,1.791759,0,0,0,0.1073225,10.62133,0.2796,0.24365,13.8887
1987,21,1,6,1.791759,0,0,0.5,0.1274455,10.62133,0.2796,0.24365,13.67292
1968,27,1,2,0.6931472,0,0,0,0.0262717,9.952278,0.3014,0.5274,14.54793
1969,41,1,1,0.6931472,12.14751,0,0,0.0290665,9.952278,0.3014,0.5274,14.63935
1983,21,1,6,0.6931472,12.14751,0,0.25,0.1006149,10.62133,0.2796,0.24365,13.93506
1983,23,1,6,0.6931472,12.14751,0,0.75,0.1006149,10.62133,0.2796,0.24365,13.93506
1987,19,1,6,0.6931472,12.14751,0,0.75,0.1274455,10.62133,0.2796,0.24365,13.67292
1974,27,1,2,1.609438,0,0,0,0.0408049,10.20359,0.2831,0.34075,14.87976
1976,23,0,6,0,0,0,0.3333333,0.0508664,10.20359,0.2831,0.34075,14.82917
1980,24,0,6,1.609438,0,0,0.6666667,0.0771381,10.62133,0.2796,0.24365,13.73002
1976,29,1,3,1.386294,0,0,0,0.0508664,10.20359,0.2831,0.34075,14.82917
1985,21,1,0,0,0,0,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1970,20,1,4,0,0,0,0,0.0307434,10.20359,0.2831,0.34075,14.69026
1986,19,1,5,1.386294,0,0,0.5,0.1196199,10.62133,0.2796,0.24365,13.90484
1985,27,1,3,1.386294,13.19003,0,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1978,20,1,6,0,0,0,0,0.059251,10.20359,0.2831,0.34075,14.94865
1979,19,1,6,0,0,0,0.3333333,0.0659586,10.20359,0.2831,0.34075,14.56347
1987,19,1,6,0,0,0,0.6666667,0.1274455,10.62133,0.2796,0.24365,13.67292
1981,25,1,6,1.386294,13.62081,0,0.5,0.0894354,10.62133,0.2796,0.24365,13.62066
1966,22,1,3,1.791759,0,0,0,0.0245947,9.952278,0.3014,0.5274,14.2437
1987,17,1,9,0,0,0,0.5,0.1274455,10.62133,0.2796,0.24365,13.67292
1974,21,1,6,0,0,0,0,0.0408049,10.20359,0.2831,0.34075,14.87976
1970,34,1,0,1.386294,12.63999,0,0,0.0307434,10.20359,0.2831,0.34075,14.69026
1975,22,1,6,1.386294,12.63999,0,0.3333333,0.0458357,10.20359,0.2831,0.34075,14.75543
1981,20,1,6,1.386294,12.63999,0,0.6666667,0.0894354,10.62133,0.2796,0.24365,13.62066
1975,16,1,0,0,12.32983,0,0,0.0458357,10.20359,0.2831,0.34075,14.75543
1977,33,1,3,1.609438,13.33313,0,0,0.0553382,10.20359,0.2831,0.34075,14.94673
1982,28,1,6,1.609438,13.33313,0,0.25,0.0950252,10.62133,0.2796,0.24365,13.776
1982,32,1,6,1.609438,13.33313,0,1,0.0950252,10.62133,0.2796,0.24365,13.776
1982,35,1,3,1.609438,13.33313,0,1,0.0950252,10.62133,0.2796,0.24365,13.776
1975,26,1,6,1.94591,0,0,0,0.0458357,10.20359,0.2831,0.34075,14.75543
1978,18,0,6,1.94591,0,0,1,0.059251,10.20359,0.2831,0.34075,14.94865
1978,26,1,6,1.94591,0,0,0.3333333,0.059251,10.20359,0.2831,0.34075,14.94865
1968,19,0,6,1.098612,0,0,0,0.0262717,9.952278,0.3014,0.5274,14.54793
1980,26,1,6,1.098612,0,0,0.25,0.0771381,10.62133,0.2796,0.24365,13.73002
1983,54,0,4,1.098612,0,0,0.5,0.1006149,10.62133,0.2796,0.24365,13.93506
1986,62,1,3,1.098612,0,0,0.75,0.1196199,10.62133,0.2796,0.24365,13.90484
1985,24,1,6,0,0,1,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1985,18,1,12,1.386294,0,1,1,0.1106764,10.62133,0.2796,0.24365,13.7792
1985,28,1,6,1.386294,0,1,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1987,18,1,6,1.386294,0,0,0,0.1274455,10.62133,0.2796,0.24365,13.67292
1970,20,1,2,1.791759,0,1,0,0.0307434,10.20359,0.2831,0.34075,14.69026
1980,38,0,3,1.94591,0,0,0.5,0.0771381,10.62133,0.2796,0.24365,13.73002
1986,36,1,5,1.94591,0,0,0,0.1196199,10.62133,0.2796,0.24365,13.90484
1968,22,0,10,0,0,0,0,0.0262717,9.952278,0.3014,0.5274,14.54793
1985,32,1,2,1.386294,0,1,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1987,15,1,4,1.609438,0,1,0,0.1274455,10.62133,0.2796,0.24365,13.67292
1981,22,1,6,1.791759,0,0,0,0.0894354,10.62133,0.2796,0.24365,13.62066
1985,24,1,0,1.609438,0,0,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1987,28,1,1,1.609438,0,0,0.5,0.1274455,10.62133,0.2796,0.24365,13.67292
1970,20,1,5,0,0,0,0,0.0307434,10.20359,0.2831,0.34075,14.69026
1984,26,1,6,0,0,1,0,0.1073225,10.62133,0.2796,0.24365,13.8887
1979,27,1,6,1.791759,0,0,0.25,0.0659586,10.20359,0.2831,0.34075,14.56347
1979,24,1,6,1.791759,0,0,0.75,0.0659586,10.20359,0.2831,0.34075,14.56347
1984,21,1,6,1.791759,0,0,0.75,0.1073225,10.62133,0.2796,0.24365,13.8887
1987,20,1,6,0,0,0,1,0.1274455,10.62133,0.2796,0.24365,13.67292
1987,25,1,6,1.386294,0,0,0.3333333,0.1274455,10.62133,0.2796,0.24365,13.67292
1979,31,1,2,1.098612,0,0,0,0.0659586,10.20359,0.2831,0.34075,14.56347
1985,17,1,6,1.098612,0,0,0.5,0.1106764,10.62133,0.2796,0.24365,13.7792
1980,18,1,6,0,0,1,0,0.0771381,10.62133,0.2796,0.24365,13.73002
1983,19,1,6,0,0,1,0.5,0.1006149,10.62133,0.2796,0.24365,13.93506
1983,18,1,3,1.791759,0,0,0,0.1006149,10.62133,0.2796,0.24365,13.93506
1976,17,1,3,1.098612,0,1,0,0.0508664,10.20359,0.2831,0.34075,14.82917
1980,19,0,6,1.098612,0,1,0.5,0.0771381,10.62133,0.2796,0.24365,13.73002
1980,20,1,6,0,0,0,0.5,0.0771381,10.62133,0.2796,0.24365,13.73002
1978,19,1,8,1.609438,0,0,0.2,0.059251,10.20359,0.2831,0.34075,14.94865
1981,24,1,6,1.609438,11.92437,0,0.4,0.0894354,10.62133,0.2796,0.24365,13.62066
1984,19,1,7,1.609438,11.92437,0,0.6,0.1073225,10.62133,0.2796,0.24365,13.8887
1979,21,1,5,1.609438,0,0,0,0.0659586,10.20359,0.2831,0.34075,14.56347
1980,18,1,4,1.609438,0,0,0.2,0.0771381,10.62133,0.2796,0.24365,13.73002
1986,22,1,6,1.609438,0,0,0.4,0.1196199,10.62133,0.2796,0.24365,13.90484
1986,26,1,4,1.609438,0,0,0.8,0.1196199,10.62133,0.2796,0.24365,13.90484
1987,17,1,8,1.609438,0,0,0.8,0.1274455,10.62133,0.2796,0.24365,13.67292
1977,20,1,6,0,0,0,0,0.0553382,10.20359,0.2831,0.34075,14.94673
1982,25,0,5,0,0,0,0.5,0.0950252,10.62133,0.2796,0.24365,13.776
1979,24,1,0,0,0,0,0,0.0659586,10.20359,0.2831,0.34075,14.56347
1969,20,1,3,1.386294,0,0,0,0.0290665,9.952278,0.3014,0.5274,14.63935
1975,19,0,6,1.386294,0,0,0.5,0.0458357,10.20359,0.2831,0.34075,14.75543
1972,15,1,6,0,0,0,0,0.0346562,10.20359,0.2831,0.34075,15.65455
1980,18,0,6,0,0,0,0.5,0.0771381,10.62133,0.2796,0.24365,13.73002
1977,15,1,6,0,0,0,0,0.0553382,10.20359,0.2831,0.34075,14.94673
1979,17,0,6,0,0,0,0.5,0.0659586,10.20359,0.2831,0.34075,14.56347
1983,32,1,4,0,0,0,0,0.1006149,10.62133,0.2796,0.24365,13.93506
1985,17,1,9,0,0,0,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1976,23,1,2,0,0,0,0,0.0508664,10.20359,0.2831,0.34075,14.82917
1978,20,0,2,0,0,0,0.5,0.059251,10.20359,0.2831,0.34075,14.94865
1971,16,1,4,0,0,0,0,0.0340973,10.20359,0.2831,0.34075,14.96652
1977,19,0,11,0,0,0,0.5,0.0553382,10.20359,0.2831,0.34075,14.94673
1985,20,1,6,1.609438,0,0,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1988,22,0,6,1.609438,0,0,0.5,0.1386249,10.62133,0.2796,0.24365,13.52272
1986,21,1,6,0,0,0,0,0.1196199,10.62133,0.2796,0.24365,13.90484
1969,41,1,2,0,0,0,0,0.0290665,9.952278,0.3014,0.5274,14.63935
1972,15,0,9,0,0,0,0.1666667,0.0346562,10.20359,0.2831,0.34075,15.65455
1972,16,0,9,0,0,0,0.5,0.0346562,10.20359,0.2831,0.34075,15.65455
1974,15,1,9,0,0,0,0.5,0.0408049,10.20359,0.2831,0.34075,14.87976
1974,20,1,11,0,0,0,0.8333333,0.0408049,10.20359,0.2831,0.34075,14.87976
1981,17,0,11,0,0,0,0.8333333,0.0894354,10.62133,0.2796,0.24365,13.62066
1988,27,1,14,0,13.48728,1,0,0.1386249,10.62133,0.2796,0.24365,13.52272
1979,24,1,6,1.609438,0,0,0,0.0659586,10.20359,0.2831,0.34075,14.56347
1979,15,0,6,0,0,0,1,0.0659586,10.20359,0.2831,0.34075,14.56347
1979,19,1,9,0,0,0,0,0.0659586,10.20359,0.2831,0.34075,14.56347
1976,61,0,0,0,0,0,0.25,0.0508664,10.20359,0.2831,0.34075,14.82917
1977,60,0,0,1.386294,0,0,0.5,0.0553382,10.20359,0.2831,0.34075,14.94673
1986,16,1,10,1.386294,0,0,0.75,0.1196199,10.62133,0.2796,0.24365,13.90484
1986,22,1,12,0,0,0,0,0.1196199,10.62133,0.2796,0.24365,13.90484
1988,21,0,6,0,0,0,0.5,0.1386249,10.62133,0.2796,0.24365,13.52272
1976,25,1,15,0,0,0,0,0.0508664,10.20359,0.2831,0.34075,14.82917
1985,57,1,0,2.197225,0,1,0,0.0266328,13.29295,0.1527,0.0563,13.7792
1985,39,1,3,1.386294,0,1,0,0.0266328,13.29295,0.1527,0.0563,13.7792
1985,21,1,6,1.609438,0,1,1,0.0266328,13.29295,0.1527,0.0563,13.7792
1985,24,1,6,1.609438,0,1,0,0.0266328,13.29295,0.1527,0.0563,13.7792
1980,18,1,6,1.098612,0,0,1,0.0202917,13.29295,0.1527,0.0563,13.73002
1980,16,1,6,1.098612,0,0,1,0.0202917,13.29295,0.1527,0.0563,13.73002
1980,20,0,9,1.098612,0,0,1,0.0202917,13.29295,0.1527,0.0563,13.73002
1980,44,1,3,1.098612,0,0,0,0.0202917,13.29295,0.1527,0.0563,13.73002
1980,45,0,3,1.098612,0,0,1,0.0202917,13.29295,0.1527,0.0563,13.73002
1987,16,1,6,1.098612,0,0,0,0.0304375,13.29295,0.1527,0.0563,13.67292
1977,44,1,0,1.94591,0,1,0,0.016487,12.80765,0.1425,0.0887,14.94673
1985,18,1,6,1.098612,0,0,0,0.0266328,13.29295,0.1527,0.0563,13.7792
1984,44,1,0,1.386294,0,0,0,0.0253646,13.29295,0.1527,0.0563,13.8887
1978,35,1,6,0,0,0,0,0.0177552,12.80765,0.1425,0.0887,14.94865
1972,29,0,0,1.386294,0,0,0,0.0120482,12.80765,0.1425,0.0887,15.65455
1968,23,0,6,1.386294,0,1,0,0.0082435,12.25486,0.2061,0.25985,14.54793
1970,23,0,6,1.386294,0,1,0.3333333,0.01078,12.80765,0.1425,0.0887,14.69026
1975,47,1,4,1.386294,0,1,0.6666667,0.0139505,12.80765,0.1425,0.0887,14.75543
1981,41,1,6,0,0,0,0,0.0240964,13.29295,0.1527,0.0563,13.62066
1975,23,1,9,0,0,1,0,0.0139505,12.80765,0.1425,0.0887,14.75543
1973,29,1,5,0,0,0,0,0.0133164,12.80765,0.1425,0.0887,15.62987
1966,26,1,4,0,0,1,0,0.0069753,12.25486,0.2061,0.25985,14.2437
1979,15,1,0,1.386294,0,0,0,0.0190235,12.80765,0.1425,0.0887,14.56347
1983,33,1,9,1.098612,0,0,0,0.0247305,13.29295,0.1527,0.0563,13.93506
1968,27,1,6,0,0,0,0,0.0082435,12.25486,0.2061,0.25985,14.54793
1975,29,0,0,0,0,0,0.5,0.0139505,12.80765,0.1425,0.0887,14.75543
1970,24,1,0,0,0,0,0,0.01078,12.80765,0.1425,0.0887,14.69026
1977,21,1,6,0,0,0,0,0.016487,12.80765,0.1425,0.0887,14.94673
1968,19,1,6,0,0,0,0,0.0082435,12.25486,0.2061,0.25985,14.54793
1979,22,1,6,1.386294,0,0,0,0.0190235,12.80765,0.1425,0.0887,14.56347
1984,53,1,0,0,0,0,0,0.0253646,13.29295,0.1527,0.0563,13.8887
1978,37,1,0,0,0,0,0,0.0177552,12.80765,0.1425,0.0887,14.94865
1968,19,1,0,1.386294,0,0,0,0.0082435,12.25486,0.2061,0.25985,14.54793
1976,32,1,6,0,0,0,0,0.0158529,12.80765,0.1425,0.0887,14.82917
1986,19,1,12,0,0,0,0.5,0.0298034,13.29295,0.1527,0.0563,13.90484
1980,28,1,3,1.098612,0,0,0,0.0202917,13.29295,0.1527,0.0563,13.73002
1971,15,1,6,0,10.36058,0,0.3333333,0.0509849,7.600903,0.2247,0.6463,14.96652
1979,18,1,6,0,10.36058,0,0.6666667,0.1280417,7.600903,0.2247,0.6463,14.56347
1970,17,1,3,0,0,0,0,0.0451912,7.600903,0.2247,0.6463,14.69026
1971,20,1,3,0,0,0,0,0.0509849,7.600903,0.2247,0.6463,14.96652
1975,24,1,3,0,10.74356,0,0.2,0.0869061,7.600903,0.2247,0.6463,14.75543
1982,23,1,9,0,10.74356,0,0.4,0.1755504,8.006368,0.3882,0.47175,13.776
1982,21,1,6,1.609438,10.74356,0,0.8,0.1755504,8.006368,0.3882,0.47175,13.776
1984,18,1,9,1.609438,10.74356,0,0.8,0.1952491,8.006368,0.3882,0.47175,13.8887
1976,36,1,2,1.791759,10.54289,0,0,0.0932793,7.600903,0.2247,0.6463,14.82917
1980,17,1,3,1.791759,10.54289,0,0.3333333,0.1483198,8.006368,0.3882,0.47175,13.73002
1987,17,1,6,1.791759,10.54289,0,0.6666667,0.2387022,8.006368,0.3882,0.47175,13.67292
1978,21,1,5,1.609438,0,0,0,0.1158749,7.600903,0.2247,0.6463,14.94865
1981,20,1,9,0,10.13744,0,0,0.1593279,8.006368,0.3882,0.47175,13.62066
1975,16,1,6,0,0,0,0,0.0869061,7.600903,0.2247,0.6463,14.75543
1986,21,1,7,0,0,0,0.5,0.2253766,8.006368,0.3882,0.47175,13.90484
1982,39,1,1,1.609438,0,1,0,0.1755504,8.006368,0.3882,0.47175,13.776
1978,20,0,4,0,0,0,0.25,0.1158749,7.600903,0.2247,0.6463,14.94865
1980,18,0,6,0,8.345881,0,0.5,0.1483198,8.006368,0.3882,0.47175,13.73002
1983,17,1,9,1.94591,0,0,0.75,0.1836616,8.006368,0.3882,0.47175,13.93506
1971,32,1,0,1.609438,0,0,0,0.0509849,7.600903,0.2247,0.6463,14.96652
1973,22,1,0,0,0,0,0.1666667,0.0648899,7.600903,0.2247,0.6463,15.62987
1974,21,1,0,0,0,0,0.3333333,0.0764774,7.600903,0.2247,0.6463,14.87976
1975,20,1,0,0,0,0,0.5,0.0869061,7.600903,0.2247,0.6463,14.75543
1982,15,1,6,0,0,0,0.6666667,0.1755504,8.006368,0.3882,0.47175,13.776
1984,21,1,9,1.94591,0,0,0.8333333,0.1952491,8.006368,0.3882,0.47175,13.8887
1970,24,1,2,2.197225,0,0,0,0.0451912,7.600903,0.2247,0.6463,14.69026
1985,17,1,9,2.197225,0,0,0.3333333,0.2056779,8.006368,0.3882,0.47175,13.7792
1986,16,1,9,2.197225,0,0,0.6666667,0.2253766,8.006368,0.3882,0.47175,13.90484
1981,19,1,0,0,0,0,0,0.1593279,8.006368,0.3882,0.47175,13.62066
1977,23,1,3,0,0,0,0,0.1066049,7.600903,0.2247,0.6463,14.94673
1976,20,1,6,0,0,0,0,0.0932793,7.600903,0.2247,0.6463,14.82917
1979,18,1,5,0,0,0,0.2,0.1280417,7.600903,0.2247,0.6463,14.56347
1982,20,1,6,1.609438,0,0,0.4,0.1755504,8.006368,0.3882,0.47175,13.776
1983,20,1,6,1.609438,0,0,0.6,0.1836616,8.006368,0.3882,0.47175,13.93506
1986,22,1,6,1.609438,0,0,0.8,0.2253766,8.006368,0.3882,0.47175,13.90484
1981,20,1,6,1.386294,0,0,0,0.1593279,8.006368,0.3882,0.47175,13.62066
1986,18,1,6,1.386294,0,0,0.5,0.2253766,8.006368,0.3882,0.47175,13.90484
1978,19,1,4,0,0,0,0,0.1158749,7.600903,0.2247,0.6463,14.94865
1972,20,1,3,0,0,0,0.2,0.0573581,7.600903,0.2247,0.6463,15.65455
1974,26,1,3,0,0,0,0.4,0.0764774,7.600903,0.2247,0.6463,14.87976
1978,16,0,3,0,0,0,0.6,0.1158749,7.600903,0.2247,0.6463,14.94865
1978,20,0,3,0,0,0,1,0.1158749,7.600903,0.2247,0.6463,14.94865
1973,41,1,3,0,0,1,0,0.0648899,7.600903,0.2247,0.6463,15.62987
1987,17,1,6,0,0,1,0.5,0.2387022,8.006368,0.3882,0.47175,13.67292
1968,22,1,5,2.397895,0,0,0.5,0.0399768,6.907755,0.4304,0.7594,14.54793
1979,25,1,3,0,0,0,0,0.1280417,7.600903,0.2247,0.6463,14.56347
1988,39,1,6,0,0,0,0,0.2549247,8.006368,0.3882,0.47175,13.52272
1973,21,1,3,1.609438,11.56453,0,0.25,0.0648899,7.600903,0.2247,0.6463,15.62987
1974,16,0,5,1.609438,11.56453,0,0.375,0.0764774,7.600903,0.2247,0.6463,14.87976
1974,20,1,3,1.609438,11.56453,0,0.625,0.0764774,7.600903,0.2247,0.6463,14.87976
1979,23,0,5,1.609438,11.56453,0,0.625,0.1280417,7.600903,0.2247,0.6463,14.56347
1983,38,1,3,1.609438,11.56453,0,0.75,0.1836616,8.006368,0.3882,0.47175,13.93506
1986,22,1,14,1.609438,11.56453,0,0.875,0.2253766,8.006368,0.3882,0.47175,13.90484
1983,15,1,9,0,0,0,0.25,0.1836616,8.006368,0.3882,0.47175,13.93506
1985,19,1,9,2.197225,9.26203,1,0.5,0.2056779,8.006368,0.3882,0.47175,13.7792
1986,17,1,9,2.197225,9.26203,1,0.75,0.2253766,8.006368,0.3882,0.47175,13.90484
1977,28,1,6,0,0,0,0,0.1066049,7.600903,0.2247,0.6463,14.94673
